"(parameter 0 (member writeFile (member fs (return (root https://www.npmjs.com/package/lazy-cache)))))","taint","TaintedPath"
"(parameter 0 (root https://www.npmjs.com/package/rimraf))","taint","TaintedPath"
"(parameter 0 (member rmdirSync (root https://www.npmjs.com/package/graceful-fs)))","taint","TaintedPath"
"(parameter 1 (root https://www.npmjs.com/package/minimatch))","taint","RegExpInjection"
"(parameter 0 (return (root https://www.npmjs.com/package/wrappy)))","taint","RegExpInjection"
"(parameter 0 (root https://www.npmjs.com/package/array-uniq))","taint","RegExpInjection"
"(member index (parameter 0 (member html (root https://www.npmjs.com/package/js-beautify))))","taint","RegExpInjection"
"(parameter 0 (member html (root https://www.npmjs.com/package/js-beautify)))","taint","RegExpInjection"
"(parameter 0 (member removeSync (root https://www.npmjs.com/package/fs-promise)))","taint","TaintedPath"
"(parameter 0 (member configure (root https://www.npmjs.com/package/log4js)))","taint","TaintedPath"
"(parameter 0 (member get (instance (root https://www.npmjs.com/package/cookies))))","taint","RegExpInjection"
"(parameter 0 (root https://www.npmjs.com/package/optional))","taint","TaintedPath"
"(parameter 0 (member readFileSync (return (member require (root https://www.npmjs.com/package/adm-zip/)))))","taint","TaintedPath"
"(parameter 0 (member scan (instance (member Scanner (root https://www.npmjs.com/package/mustache/)))))","taint","RegExpInjection"
"(parameter 1 (root https://www.npmjs.com/package/gulp-if/))","taint","TaintedPath"
"(parameter 1 (member match (root https://www.npmjs.com/package/minimatch/)))","taint","RegExpInjection"
"(parameter 0 (member readFileSync (return (member require (member FileSystem (root https://www.npmjs.com/package/adm-zip/))))))","taint","TaintedPath"
"(parameter 0 (root https://www.npmjs.com/package/nyc/))","taint","CommandInjection"
"(parameter 0 (member sync (root https://www.npmjs.com/package/command-exists/)))","taint","CommandInjection"
"(parameter 0 (root https://www.npmjs.com/package/liftoff/))","taint","TaintedPath"
"(parameter 0 (root https://www.npmjs.com/package/vinyl-fs/))","taint","TaintedPath"
"(parameter 1 (root https://www.npmjs.com/package/minimatch/))","taint","RegExpInjection"
"(parameter 0 (root https://www.npmjs.com/package/svgo/))","taint","TaintedPath"
"(parameter 0 (member copy (root https://www.npmjs.com/package/copy-paste)))","taint","CommandInjection"
"(parameter 0 (member scanUntil (instance (member Scanner (root https://www.npmjs.com/package/mustache/)))))","taint","RegExpInjection"
"(parameter 1 (root https://www.npmjs.com/package/mongoose/))","taint","TaintedPath"
"(parameter 0 (member enableNetConnect (root https://www.npmjs.com/package/nock)))","taint","RegExpInjection"
